Part ID,Package,Layer,Rotation,X,Y
BANKSEL4,CONN-SIL2,TOP,-180,-203.2,123.19
J1,1610098E,TOP,-90,-28.5801,108.53
R16,RES40,TOP,-90,-40.3301,118.45
R1,RES40,TOP,270,-77.6399,108.45
R2,RES40,TOP,270,-75.1401,118.45
R3,RES40,TOP,270,-72.6399,108.45
R4,RES40,TOP,270,-70.1401,118.45
R5,RES40,TOP,270,-67.6399,108.45
R6,RES40,TOP,270,-65.1401,118.45
R7,RES40,TOP,270,-62.64,108.45
R8,RES40,TOP,270,-60.1401,118.45
R9,RES40,TOP,270,-57.64,108.45
R10,RES40,TOP,270,-55.1401,118.45
R11,RES40,TOP,270,-52.64,108.45
R12,RES40,TOP,270,-50.1401,118.45
R13,RES40,TOP,270,-47.64,108.45
R14,RES40,TOP,270,-45.1401,118.45
R15,RES40,TOP,270,-42.64,108.45
EXPANSIONBUSP1,09021646921,TOP,-90,-217.808,74.93
VIDEOP1,09021646921,TOP,-90,-217.808,-27.94
DSW1,SW-DIP8,TOP,270,-198.12,73.66
R17,RES40,TOP,-90,-85.09,71.12
R34,RES40,TOP,-90,-81.28,71.12
R35,RES40,TOP,-90,-77.47,71.12
R36,RES40,TOP,-90,-73.66,71.12
R37,RES40,TOP,-90,-69.85,71.12
R38,RES40,TOP,-90,-66.04,71.12
R39,RES40,TOP,-90,-62.23,71.12
R42,RES40,TOP,-90,-58.42,71.12
R43,RES40,TOP,-90,-82.55,83.82
R44,RES40,TOP,-90,-78.74,83.82
R45,RES40,TOP,-90,-74.93,83.82
R46,RES40,TOP,-90,-71.12,83.82
R47,RES40,TOP,-90,-67.31,83.82
R48,RES40,TOP,-90,-63.5,83.82
R49,RES40,TOP,-90,-59.69,83.82
R50,RES40,TOP,-90,-55.88,83.82
DEBUGAUDIO1,CONN-DIL8,TOP,-90,-40.64,77.47
DEBUGAUDIO2,CONN-DIL8,TOP,-90,-83.82,113.03
OSC2,SQRWIDOSCDIL14,TOP,0,-107.95,-73.66
U73,DIL28CAP20,TOP,-90,-102.743,-12.573
3T,SOIC127P600X175-14N-CAP,TOP,90,-112.492,-62.0451
U2,SOIC127P1030X265-20N-CAP,TOP,0,-93.0699,111.984
U209,SOIC127P1030X265-20N-CAP,TOP,0,-94.3399,76.424
DSW22,SW-DIP2,TOP,-90,-198.12,88.9
DSW15,SW-DIP8,TOP,-90,-198.12,105.41
U201,SOP80P1176X120-44,TOP,0,-127.65,-1.67
U200,SOP80P1176X120-44,TOP,0,-127.65,-23.26
C1,CAPC1005X55N,TOP,90,-135.128,-1.651
C2,CAPC1005X55N,TOP,270,-120.142,-1.651
C3,CAPC1005X55N,TOP,90,-135.128,-23.241
C4,CAPC1005X55N,TOP,270,-120.142,-23.241
J3,SJ13523NG,TOP,-180,-27.0624,77.47
